store_id,retail_chain,region_name,city_name,address,store_code,store_name,store_format,full_address,lat,lon,geo_precision,geo_found_address,store_key
57d728033c8331624d6f55595cbfd259,Перекресток,Московская обл.,"го.Ленинский, рп.Бутово","142702, Московская обл., го.Ленинский, рп.Бутово, , 8 корп.1",Филиал Центральный,Бутово Парк,B489,"Московская обл., Московская обл., го.Ленинский, рп.Бутово, , 8 корп.1",55.542844,37.584937,near,"Россия, Московская область, Ленинский городской округ, посёлок городского типа Бутово, 14",
ce44f00095182cb9a138b81b6cd5784c,Перекресток,Московская обл.,"го.Одинцовский, п.НИИ Радио","143041, Московская обл., го.Одинцовский, п.НИИ Радио, ,  стр.23Ж",Филиал Центральный,НИИ Радио,B457,"Московская обл., Московская обл., го.Одинцовский, п.НИИ Радио, , стр.23Ж",55.568578,36.997968,exact,"Россия, Московская область, Одинцовский городской округ, посёлок НИИ Радио, 23Ж",
7de939cb3807bf95fb38d77964ca13f9,Перекресток,Краснодарский край,г.Краснодар,"350053, г.Краснодар, Западный Обход ул, , з/у 41/1",Филиал Южный,"Краснодар, Самолет",B539,"Краснодарский край, г.Краснодар, Западный Обход ул, , з/у 41/1",45.09306,38.90652,exact,"Россия, Краснодар, улица Западный Обход, 41/1",
51040bcef9cd128ff4a608c60c5d6726,Перекресток,Свердловская обл.,г.Екатеринбург,"Малышева ул, ,  стр.5",Филиал Уральский,Екатеринбург Алатырь,B559,"Свердловская обл., г.Екатеринбург, Малышева ул, , стр.5",55.701486,37.742555,exact,"Россия, Москва, улица Малышева, 5",
93415326aa187c3ccff9e9f13e63ebd9,Перекресток,Московская обл.,г.Красногорск,"автодорога Балтия тер, 21-й км, ,  стр.1А",Филиал Центральный,Новая Рига,B563,"Московская обл., г.Красногорск, автодорога Балтия тер, 21-й км, , стр.1А",55.715702,37.090064,number,"Россия, Московская область, Одинцовский городской округ, А-106, 21-й километр, 1",
a3b9089763395ffcc66a7323f1260661,Перекресток,Московская обл.,г.Раменское,"140104, г.Раменское, Лучистая ул, , стр.10",Филиал Центральный,Раменское Десантная,B567,"Московская обл., г.Раменское, Лучистая ул, , стр.10",55.566873,38.19642,exact,"Россия, Московская область, Раменское, Лучистая улица, 10",
f1b105449b7b10c49f6c27c1d52a7f1f,Перекресток,Московская обл.,"го.Ленинский,д.Сапроново,ЖК Первый кв-л","142701, го.Ленинский,д.Сапроново,ЖК Первый кв-л, 0, , около д.1",Филиал Центральный,Первый квартал,D856,"Московская обл., го.Ленинский,д.Сапроново,ЖК Первый кв-л, 0, , около д.1",55.530169,37.715156,exact,"Россия, Московская область, Ленинский городской округ, деревня Сапроново, 1",
bae2feb91ed9c2d45ae4bdef2326afac,Перекресток,г. Москва,г.Москва,"119530, г.Москва, Очаковское ш, , з/у 3А/8",Филиал Центральный,ОМА,B548,"г. Москва, г.Москва, Очаковское ш, , з/у 3А/8",55.695185,37.463314,number,"Россия, Москва, Очаковское шоссе, 3А",
,,,,,,,,,,,,,addr:
,,,,,,,,"г. Москва, г. Москва, Перервинский б-р, 4 к.1",55.662151,37.764052,exact,"Россия, Москва, Перервинский бульвар, 4к1","109469, г. Москва, Перервинский б-р, 4 к.1"
