,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
0,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,Чипсы картофельные Pattes классические рифленые 100г (ОКЕЙ),PATTES Оригинальные 100г,100,Оригинальные,584,109037.51000000007,0.05840000000000001,40009.53999999999
1,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,Чипсы картофельные Pattes со вкусом зелени и йогурта 100г (ОКЕЙ),PATTES Йогурт и травы 100г,100,Йогурт и травы,812,155460.89,0.08120000000000002,55629.670000000006
2,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,Чипсы картофельные Pattes со вкусом кетчупа 100г (ОКЕЙ),PATTES Кетчуп 100г,100,Кетчуп,655,122813.00000000004,0.06550000000000002,44873.649999999994
3,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,Чипсы картофельные Pattes со вкусом красного перца чили 100г (ОКЕЙ),PATTES Чили 100г,100,Чили,847,161834.86000000002,0.0847,58027.41999999998
4,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,Чипсы картофельные Pattes со вкусом уксуса и лайма 100г (ОКЕЙ),PATTES Уксус и лайм 100г,100,Уксус и лайм,637,119645.89000000004,0.06370000000000003,43640.529999999984
5,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,Чипсы картофельные San Carlo  мята и перец 150г,San Carlo Мята и перец 150 г,150,Мята и перец,350,75804.17799999999,0.052500000000000026,59477.62
6,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,"Чипсы картофельные 'San Carlo' 'Классика', 180г)",San Carlo Классика 180 г,180,Оригинальные,603,147385.57,0.10853999999999994,110289.11
7,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,Чипсы картофельные San Carlo со вкусом лайма и розового перца 150г,San Carlo Лайм и розовый перец 150 г,150,Лайм и перец розовый,808,178002.0411000001,0.12120000000000003,137858.26000000004
8,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,Чипсы картофельные San Carlo со вкусом лайма и розового перца 50г,San Carlo Лайм и розовый перец 50 г,50,Лайм и перец розовый,411,53262.0644,0.020550000000000002,36267.25
9,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,ИП Ланина А.В.,О'кей,Чипсы картофельные ОКЕЙ с солью 140г,О'кей Соль 140г,140,Соль,3119,258265.8551,0.43665999999999977,197376.44999999998
