,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкусы,"Продажи, шт ","Продажи, руб ","Продажи, тонн ","Себест., руб "
0,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"АО ""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""",Savoursmiths,SAVOUR.Чип.кар.вкус.ит.сыр/пор.руб.150г,Savoursmiths Итальянский сыр и порто руби 150г,150,Сыр и порто руби,208,99426.6400000001,0.03120000000000008,58307.63999999994
1,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"АО ""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""",Savoursmiths,SAVOUR.Чип.карт.сыр.чеддр/лук-шалот 150г,Savoursmiths Сыр.чеддр и лук-шалот 150г,150,Сыр и лук-шалот,225,105909.55000000009,0.033750000000000065,62916.05999999997
2,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"АО ""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""",Savoursmiths,SAVOURSM.Чипсы карт.с сол.пуст.150г,Savoursmiths Соль пустыни 150г,150,Соль,84,37699.30000000002,0.012600000000000012,23510.027999999995
3,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,PATTES Чипсы КЛАССИЧЕСКИЕ картофель.100г,PATTES Оригинальные 100г,100,Оригинальные,75,12236.779999999995,0.0075000000000000015,7181.699999999997
4,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,PATTES Чипсы со вк.йогур/трав карт.100г,PATTES Йогурт и травы 100г,100,Йогурт и травы,6,865.33,0.0006000000000000001,604.8
5,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Seykar gida san. VE. TIC. LTD.,PATTES,PATTES Чипсы со вкус.кр.пер.картоф.100г,PATTES Красный перец 100г,100,Перец красный,5,949.35,0.0005,475.98
6,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Белпродукт ООО,Бульба картошечка по-деревенски,БУЛЬБА Чип.CHIPS вк.ут/соус.бр.карт.150г,Бульба картошечка по-деревенски Утка с брусн. соусом 150г,150,Утка и соус брусничный,22,2476.1,0.0033,1526.7000000000003
7,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Белпродукт ООО,Бульба картошечка по-деревенски,БУЛЬБА Чипсы сыр.карт.вк.перца/соли 150г,Бульба картошечка по-деревенски Соль и перец 150г,150,Соль и перец черный,19,1891.8000000000002,0.00285,1319.0040000000001
8,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Белпродукт ООО,Бульба картошечка по-деревенски,БУЛЬБА Чипсы сыр.карт.вк.трюф.соуса 150г,Бульба картошечка по-деревенски Трюфельный соус 150г,150,Трюфель,5,354.28999999999996,0.00075,347.03999999999996
9,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Бумажная бумага,EASY PEASY,EASY PEASY Картоф.СО ВКУС.КРАБА хрус.50г,EASY PEASY Краб 50г,50,Краб,1,58.0,5e-05,37.26
