,Период,Сеть,Категория,Тип основы,Поставщики,Бренды,Наименование,УНИ Наименование,Граммовка,Вкусы,"Продажи, шт","Продажи, руб ","Продажи, тонн ","Себест., руб "
0,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК в пачке-чаше,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON SN.B.Чип.кар.вк.Сыр с хр.бек.70г,BIG BON Snack Box Сыр с хруст. Беконом 70г,70,Сыр и бекон,973,91256.51000000001,0.06811,44142.696
1,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК в пачке-чаше,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON SN.B.Чипсы карт.вк.Коп.папр.70г,BIG BON Snack Box Копченая паприка 70г,70,Паприка,937,79619.48999999999,0.06559,42817.15199999999
2,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,S.CAR.Чипсы картоф.лайм/роз.пер.150г,San Carlo Лайм и розовый перец 150 г,150,Лайм и перец розовый,5,1482.9,0.00075,840.312
3,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,S.CAR.Чипсы картоф.паприка 150г,San Carlo Паприка 150 г,150,Паприка,1,230.65,0.00015,164.676
4,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,S.CAR.Чипсы картоф.томат 150г,San Carlo Томат 150 г,150,Томат,1,319.99,0.00015,166.704
5,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Импортлогистик ООО  ,San Carlo,S.CAR.Чипсы КЛАССИКА картоф.180г,San Carlo Классика 180 г,180,Оригинальные,1,290.0,0.00018,198.396
6,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"АО ""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""",Savoursmiths,SAVOUR.Чип.карт.сыр.чеддр/лук-шалот 150г,Savoursmiths Сыр.чеддр и лук-шалот 150г,150,Сыр и лук-шалот,1,535.0,0.00015,281.604
7,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Глобал Снэк ООО,Bon Giorno,BON GIOR.Чипсы карт.вк.Кр.Бел.Вин.80г,BON GIORNO Креветки в белом вине 80г,80,Креветки и вино,19,1988.48,0.00152,841.8000000000001
8,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Глобал Снэк ООО,Bon Giorno,BON GIOR.Чипсы карт.вк.Лис.По-Мил.80г,BON GIORNO Лисички по-милански 80г,80,Грибы Лисички,44,4754.7300000000005,0.00352,2126.9400000000005
9,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Глобал Снэк ООО,Bon Giorno,BON GIOR.Чипсы карт.вк.Хам.Де Тер.80г,BON GIORNO Хамон 80г,80,Хамон,17,1807.88,0.00136,788.808
10,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,КДВ ООО,Хрустящий картофель,Картоф.хруст.в ломт.с солью160г,Хрустящий картофель Соль 160г,160,Соль,170,27127.42,0.0272,14519.315999999999
11,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,КДВ ООО,Хрустящий картофель,ХРУСТ.КАРТ.Чипсы карт.нат.вк.смет/лук70г,Хрустящий картофель Сметана и лук 70г,70,Сметана и лук,237,17679.739999999998,0.01659,9225.359999999999
12,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,КДВ ООО,Хрустящий картофель,ХРУСТЯЩИЙ КАРТОФЕЛЬ Чипсы с солью 70г,Хрустящий картофель Соль 70г,70,Соль,194,14167.52,0.01358,7914.336
13,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ГАН/ЛЕБ.Чипсы картофельные с солью 100г,Пакет картошки Соль 100г,100,Соль,38,4584.21,0.0038,2557.344
14,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ГАН/ЛЕБ.Чипсы картофельные с томат.100г,Пакет картошки Томат 100г,100,Томат,9,1164.43,0.0009,638.52
15,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ПАК.КАРТ.Чипсы карт.со вкус.Коп.лос.100г,Пакет картошки Копченая лосось 100г,100,Лосось,2,289.99,0.0002,142.2
16,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""",Lava Lava,LAVA LAVA Картофель хр.вкус.смет/зел.50г,LAVA LAVA Сметана и зелень 50г,50,Сметана и зелень,224764,15772505.790000055,11.2382,9164392.691999972
17,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""",Lava Lava,LAVA LAVA Картофель хруст.вкус.кетч.50г,LAVA LAVA Кетчуп 50г,50,Кетчуп,3,239.98,0.00015,146.55599999999998
18,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""",Lava Lava,LAVA LAVA Картофель хруст.вкус.краба 50г,LAVA LAVA Краб 50г,50,Краб,101,7876.119999999999,0.00505,3782.676
19,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""",Lava Lava,LAVA LAVA Картофель хруст.вкус.пельм.50г,LAVA LAVA Краб 50г,50,Пельмени,15,750.3100000000001,0.00075,468.852
20,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""",Lava Lava,LAVA LAVA Картофель хруст.вкус.сыра 50г,LAVA LAVA Сыр 50г,50,Сыр,40354,3098437.6100000027,2.0177,1640159.0399999989
21,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""","ЭУ,ПАЦАН","ЭУ,ПАЦАН Карт.со вкус.гов.лук.хруст.50г","ЭУ,ПАЦАН Говядина и Лук 50г",50,Говядина и лук,155571,10923305.26000042,7.77855,6895816.7879999345
22,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""","ЭУ,ПАЦАН","ЭУ,ПАЦАН Картоф.со вкус.краба хруст.50г","ЭУ,ПАЦАН Краб 50г",50,Краб,3993,287431.9399999997,0.19965,177374.01599999977
23,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""","ЭУ,ПАЦАН","ЭУ,ПАЦАН Картоф.со вкус.см.с лук.хр.50г","ЭУ,ПАЦАН Сметана и Лук 50г",50,Сметана и лук,184551,12833086.900000382,9.22755,8174082.563999977
24,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,"ООО ""КОЛЕНКИ ПЧЕЛЫ""","ЭУ,ПАЦАН","ЭУ,ПАЦАН Картоф.со вкусом сыра хруст.50г","ЭУ,ПАЦАН Сыр 50г",50,Сыр,24092,1578721.7399999867,1.2046,1067599.9320000024
25,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NAT.карт.вк.соуса пес.100г,NATURALS Пето 100г,100,Песто,4,683.23,0.0004,352.272
26,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATUR.карт.вк.чес/зел.100г,NATURALS Чеснок и зелень 100г,100,Чеснок и зелень,9,1475.7,0.0009,768.912
27,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATUR.карт.мор.сол/перц100г,NATURALS Морская соль и перец 100г,100,Соль и перец черный,35119,3209943.7799999965,3.5119,1944260.2680000004
28,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATUR.карт.с паприк.100г,NATURALS Паприка 100г,100,Паприка,24407,2814303.040000008,2.4407,1613945.1239999973
29,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATUR.КЛАС.карт.с солью100г,NATURALS Морская соль и перец 100г,100,Соль,155484,17159803.27000015,15.5484,10345213.451999996
30,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATURALS карт.бел.гриб.100г,NATURALS Белые грибы 100г,100,Грибы Белые,20,3198.84,0.002,1766.6879999999999
31,2024-09-01,Пятёрочка,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,LORENZ Чипсы NATURALS карт.с парм.100г,NATURALS Пармезан 100г,100,Сыр,10492,843673.2099999993,1.0492,689139.0480000003
